2023/01/13
左右2Vで空転させたときのログ
LPFなし
spd(*100000),encdiff,encang,0
265351,701,1394,0
263575,703,16373,0
261546,691,14988,0
263068,722,13565,0
260785,720,12123,0
265605,724,10688,0
268395,734,9222,0
272708,726,7752,0
257487,674,6388,0
254696,676,4991,0
260785,680,3605,0
273722,706,2216,0
265605,692,791,0
263322,692,15798,0
267888,703,14382,0
268141,721,12944,0
258502,702,11529,0
275245,725,10096,0
264336,740,8624,0
252413,673,7224,0
270425,711,5824,0
268903,713,4424,0
257994,672,3059,0
270425,723,1630,0
265097,710,201,0
271693,693,15193,0
270678,723,13770,0
262307,735,12307,0
262053,729,10855,0
275498,750,9355,0
272200,723,7887,0
262307,691,6488,0
267634,719,5050,0
262053,708,3631,0
265351,708,2227,0
274737,732,774,0
269917,708,15723,0
272708,713,14306,0
266873,736,12836,0
271439,731,11360,0
280572,770,9836,0
271947,745,8316,0
261799,695,6927,0
265605,716,5504,0
263321,708,4041,0
263829,699,2647,0
272961,740,1200,0
274230,730,16112,0
274230,714,14684,0
278289,742,13214,0
271186,726,11749,0
274991,746,10270,0
271186,746,8767,0
268141,708,7327,0
264336,718,5903,0
274737,733,4456,0
271693,720,3015,0
273469,730,1570,0
272961,722,114,0
274484,715,15071,0
281333,741,13606,0
286914,757,12085,0
283109,755,10579,0
264590,719,9099,0
281840,733,7617,0
269917,718,6191,0
259263,708,4729,0
261292,681,3315,0
280318,730,1871,0
267888,732,406,0
284377,732,15311,0
265097,719,13874,0
283616,734,12407,0
282094,748,10940,0
279050,776,9388,0
273722,726,7906,0
252667,703,6495,0
268141,722,5038,0
268649,721,3606,0
267888,717,2198,0
276767,753,702,0
269156,718,15636,0
266873,716,14207,0
274737,741,12733,0
263575,721,11281,0
285899,769,9764,0
268395,749,8256,0
273215,730,6807,0
259516,719,5376,0
253935,691,3948,0
255204,677,2565,0
275752,763,1039,0
255711,674,16021,0
271947,747,14579,0
268649,727,13108,0
277020,748,11685,0
283362,756,10176,0
267634,710,8743,0
267888,724,7308,0
264844,703,5917,0
257740,715,4480,0
266366,697,3083,0
268649,711,1666,0
264844,713,235,0
263829,706,15197,0
267888,732,13751,0
272708,746,12251,0
275498,742,10769,0
278542,736,9277,0
264844,725,7828,0
257233,675,6423,0
250637,705,4987,0
269664,733,3552,0
255204,692,2140,0
260785,723,720,0
265605,721,15639,0
251906,675,14271,0
276767,749,12806,0
268395,727,11342,0
267127,727,9875,0
278542,730,8425,0
257994,687,6995,0
264336,702,5588,0
273215,719,4189,0
246071,683,2830,0
270425,735,1369,0
259263,686,16340,0
244549,693,14977,0
262307,721,13545,0
264590,730,12075,0
262053,735,10610,0
278035,750,9113,0
261799,712,7672,0
260024,691,6289,0
260785,713,4867,0
261292,699,3453,0
254696,709,2048,0
276767,740,575,0
242773,706,15533,0
272200,726,14105,0
252921,733,12638,0
264083,726,11187,0
269410,767,9683,0
267634,740,8175,0
249876,689,6760,0
258755,731,5334,0
254696,725,3900,0
267127,715,2484,0
250891,713,1026,0
250637,703,15986,0
258248,716,14566,0
257487,755,13058,0
256726,739,11569,0
264590,734,10118,0
264083,752,8617,0
251145,698,7173,0
265858,735,5745,0
253682,701,4332,0
251652,693,2905,0
267888,748,1455,0
270425,731,16358,0
266619,712,14932,0
269664,737,13470,0
263829,734,11993,0
266619,741,10523,0
271947,758,9009,0
265605,731,7515,0
268903,728,6103,0
257487,702,4669,0
263829,716,3225,0
259263,710,1810,0
265605,741,319,0
270678,711,15274,0
271693,733,13823,0
271186,738,12339,0
267127,738,10868,0
282855,762,9356,0
260785,754,7843,0
254443,693,6441,0
261038,700,4993,0
